"id","academic_year_id/id","amenities_ids","class_id/id","display","faculty_id/id","create_uid/id","create_date","division_id/id","write_uid/id","write_date","actual_strength","class_room/id","section_id/id"
"__export__.education_class_division_84_d448cc31","__export__.education_academic_year_4_bba79d68","","__export__.education_class_9_b36d5076","Neutron","","base.user_root","2019-02-12 08:51:35","education_core.division_data2","base.user_root","2019-02-12 08:51:35","60","","education_core.class_section3"
"__export__.education_class_division_85_28392516","__export__.education_academic_year_4_bba79d68","","__export__.education_class_9_b36d5076","Xenon","","base.user_root","2019-02-12 08:51:35","education_core.division_data3","base.user_root","2019-02-12 08:51:35","60","","education_core.class_section5"
"__export__.education_class_division_86_e4772ba2","__export__.education_academic_year_4_bba79d68","","__export__.education_class_10_d6bd3867","PSI","","base.user_root","2019-02-12 08:51:35","education_core.division_data1","base.user_root","2019-02-12 08:51:35","60","","education_core.class_section1"
"__export__.education_class_division_88_4cd69f89","__export__.education_academic_year_4_bba79d68","","__export__.education_class_10_d6bd3867","Sigma","","base.user_root","2019-02-12 08:51:35","education_core.division_data1","base.user_root","2019-02-12 08:51:35","60","","education_core.class_section2"
"__export__.education_class_division_90_5e2bfad2","__export__.education_academic_year_4_bba79d68","","__export__.education_class_10_d6bd3867","Omega","","base.user_root","2019-02-12 08:51:35","education_core.division_data2","base.user_root","2019-02-12 08:51:35","60","","education_core.class_section3"
"__export__.education_class_division_92_5169887d","__export__.education_academic_year_4_bba79d68","","__export__.education_class_10_d6bd3867","Radon","","base.user_root","2019-02-12 08:51:35","education_core.division_data3","base.user_root","2019-02-12 08:51:35","60","","education_core.class_section5"
"__export__.education_class_division_93_d2cfa94d","__export__.education_academic_year_4_bba79d68","","__export__.education_class_11_1f003666","PSI","","base.user_root","2019-02-12 08:51:35","education_core.division_data1","base.user_root","2019-02-12 08:51:35","60","","education_core.class_section1"
"__export__.education_class_division_95_1f7d5bb6","__export__.education_academic_year_4_bba79d68","","__export__.education_class_11_1f003666","Sigma","","base.user_root","2019-02-12 08:51:35","education_core.division_data1","base.user_root","2019-02-12 08:51:35","60","","education_core.class_section2"
"__export__.education_class_division_96_c876e188","__export__.education_academic_year_4_bba79d68","","__export__.education_class_11_1f003666","Omega","","base.user_root","2019-02-12 08:51:35","education_core.division_data2","base.user_root","2019-02-12 08:51:35","60","","education_core.class_section3"
"__export__.education_class_division_97_62095735","__export__.education_academic_year_4_bba79d68","","__export__.education_class_11_1f003666","Radon","","base.user_root","2019-02-12 08:51:35","education_core.division_data3","base.user_root","2019-02-12 08:51:35","60","","education_core.class_section5"
"__export__.education_class_division_98_d9c2443d","__export__.education_academic_year_4_bba79d68","","__export__.education_class_12_b573f6ca","Alpha","","base.user_root","2019-02-12 08:51:35","education_core.division_data1","base.user_root","2019-02-12 08:51:35","60","","education_core.class_section1"
"__export__.education_class_division_99_be479677","__export__.education_academic_year_4_bba79d68","","__export__.education_class_12_b573f6ca","Beta","","base.user_root","2019-02-12 08:51:35","education_core.division_data1","base.user_root","2019-02-12 08:51:35","60","","education_core.class_section2"
"__export__.education_class_division_101_3179c05a","__export__.education_academic_year_4_bba79d68","","__export__.education_class_12_b573f6ca","Theeta","","base.user_root","2019-02-12 08:51:35","education_core.division_data2","base.user_root","2019-02-12 08:51:35","60","","education_core.class_section3"
"__export__.education_class_division_102_dafc7c75","__export__.education_academic_year_4_bba79d68","","__export__.education_class_12_b573f6ca","Delta","","base.user_root","2019-02-12 08:51:35","education_core.division_data3","base.user_root","2019-02-12 08:51:35","60","","education_core.class_section5"
